Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
lp-fx153,LED-driver 1500 W Moso met DALI en DMX,<p>LED-driver 1500 W Moso met DALI en DMX. Toebehoren voor de led stadionschijnwerper uit de serie FLUX.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 1 stuk. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,FLUX,"FLUX,B2B,Toebehoren",TRUE,Title,Default Title,LP-FX153,849.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fx153-1-l.webp,1,active
lp-fx153,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fx153-2-l.webp,2,
lp-fx153,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fx153-3-l.webp,3,
lp-fo101,"Opbouw enkelpolige schakelaar IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO101,10.15,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo101-1-l.webp,1,active
lp-fo102,"Opbouw serieschakelaar (2-voudig) IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO102,13.35,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo102-1-l.webp,1,active
lp-fo103,"Opbouw wisselschakelaar IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO103,14.25,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo103-1-l.webp,1,active
lp-fo104,"Opbouw kruisschakelaar IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO104,17.05,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo104-1-l.webp,1,active
lp-fo104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo104-2-l.webp,2,
lp-fo105,"Opbouw beldrukker IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO105,14.79,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo105-1-l.webp,1,active
lp-fo106,"Opbouw jaloezieschakelaar IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO106,16.15,continue,manual,TRUE,TRUE,,,active
lp-fo107,"Dubbele wandcontactdoos met randaarde IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Inbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Afdekraam</td><td>Inclusief afdekraam</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO107,13.85,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo107-1-l.webp,1,active
lp-fo107,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo107-2-l.webp,2,
lp-fo108,"Opbouw dubbele wandcontactdoos met randaarde IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO108,14.25,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo108-1-l.webp,1,active
lp-fo108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo108-2-l.webp,2,
lp-fo108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo108-3-l.webp,3,
lp-fo108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo108-4-l.webp,4,
lp-fo109,"Opbouw wandcontactdoos zonder randaarde IP44, wit","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO109,10.59,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo109-1-l.webp,1,active
lp-fo109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo109-2-l.webp,2,
lp-fo109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo109-3-l.webp,3,
lp-fo109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo109-4-l.webp,4,
lp-fo110,"Opbouw enkelpolige schakelaar IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO110,13.35,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo110-1-l.webp,1,active
lp-fo111,"Opbouw serieschakelaar (2-voudig) IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO111,17.49,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo111-1-l.webp,1,active
lp-fo112,"Opbouw wisselschakelaar IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO112,18.45,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo112-1-l.webp,1,active
lp-fo113,"Opbouw kruisschakelaar IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO113,22.09,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo113-1-l.webp,1,active
lp-fo114,"Opbouw beldrukker IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Schakelaars",TRUE,Title,Default Title,LP-FO114,18.89,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo114-1-l.webp,1,active
lp-fo114,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo114-2-l.webp,2,
lp-fo115,"Dubbele wandcontactdoos met randaarde IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Inbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Afdekraam</td><td>Inclusief afdekraam</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO115,19.85,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo115-1-l.webp,1,active
lp-fo115,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo115-2-l.webp,2,
lp-fo116,"Opbouw dubbele wandcontactdoos met randaarde IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO116,22.09,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo116-1-l.webp,1,active
lp-fo116,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo116-2-l.webp,2,
lp-fo116,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo116-3-l.webp,3,
lp-fo116,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo116-4-l.webp,4,
lp-fo117,"Opbouw wandcontactdoos zonder randaarde IP44, zwart","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO117,14.09,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo117-1-l.webp,1,active
lp-fo118,"Opbouw wandcontactdoos zonder randaarde IP44, groen","<p>Spatwaterdicht opbouwmateriaal (IP44) voor garages, schuren, kelders en buitenruimtes. Robuuste behuizing in wit of zwart, direct op de wand te monteren zonder inbouwdoos.</p><ul><li>CE-gecertificeerd</li><li>Schroefklem</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Nominale stroom</td><td>16 A</td></tr><tr><td>Montage</td><td>Opbouw</td></tr><tr><td>IP-klasse</td><td>IP44</td></tr><tr><td>Aansluitklem</td><td>Schroefklem</td></tr><tr><td>Kleur</td><td>groen</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,FORTA,"FORTA,B2B,Wandcontactdozen",TRUE,Title,Default Title,LP-FO118,10.69,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-fo118-1-l.webp,1,active
lp-fo118,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo118-2-l.webp,2,
lp-fo118,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo118-3-l.webp,3,
lp-fo118,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-fo118-4-l.webp,4,
lp-ln101,"LED lijnarmatuur 24-40W instelbaar 4000K, zwart","<p>Strak lineair LED armatuur voor kantoren en winkels, UGR&lt;21 en vermogen instelbaar via dipswitch. Naadloos koppelbaar tot doorlopende lichtlijnen, opbouw of pendel. Leverbaar in wit en zwart; optioneel met indirecte uplight-module.</p><ul><li>UGR&lt;21</li><li>Vermogen instelbaar</li><li>Naadloos koppelbaar</li><li>Wit of zwart</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>24-32-40W</td></tr><tr><td>Lichtrendement</td><td>120 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Driver</td><td>Eaglerise</td></tr><tr><td>LED-chip</td><td>Sanan</td></tr><tr><td>Afmetingen</td><td>1208 x 45 x 75 mm</td></tr><tr><td>Kleur</td><td>zwart</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,LINEA,"LINEA,B2B,Lijnarmaturen kantoor",TRUE,Title,Default Title,LP-LN101,115.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ln101-1-l.webp,1,active
lp-ln101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln101-2-l.webp,2,
lp-ln101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln101-3-l.webp,3,
lp-ln101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln101-4-l.webp,4,
lp-ln102,"LED lijnarmatuur 24-40W instelbaar 4000K, wit","<p>Strak lineair LED armatuur voor kantoren en winkels, UGR&lt;21 en vermogen instelbaar via dipswitch. Naadloos koppelbaar tot doorlopende lichtlijnen, opbouw of pendel. Leverbaar in wit en zwart; optioneel met indirecte uplight-module.</p><ul><li>UGR&lt;21</li><li>Vermogen instelbaar</li><li>Naadloos koppelbaar</li><li>Wit of zwart</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>24-32-40W</td></tr><tr><td>Lichtrendement</td><td>120 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Driver</td><td>Eaglerise</td></tr><tr><td>LED-chip</td><td>Sanan</td></tr><tr><td>Afmetingen</td><td>1208 x 45 x 75 mm</td></tr><tr><td>Kleur</td><td>wit</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,LINEA,"LINEA,B2B,Lijnarmaturen kantoor",TRUE,Title,Default Title,LP-LN102,115.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ln102-1-l.webp,1,active
lp-ln102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln102-2-l.webp,2,
lp-ln102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln102-3-l.webp,3,
lp-ln102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln102-4-l.webp,4,
lp-ln103,Indirecte uplight-module voor lijnarmatuur,<p>Indirecte uplight-module voor lijnarmatuur. Toebehoren voor de led lijnarmatuur uit de serie LINEA.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,LINEA,"LINEA,B2B,Toebehoren",TRUE,Title,Default Title,LP-LN103,45.05,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ln103-1-l.webp,1,active
lp-ln104,Koppelset voor lijnarmatuur,<p>Koppelset voor lijnarmatuur. Toebehoren voor de led lijnarmatuur uit de serie LINEA.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,LINEA,"LINEA,B2B,Toebehoren",TRUE,Title,Default Title,LP-LN104,15.05,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ln104-1-l.webp,1,active
lp-ln104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln104-2-l.webp,2,
lp-ln104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ln104-3-l.webp,3,
lp-lu101,"Enkelpolige schakelaar, wit mat","<p>Premium schakelmateriaal met een vlak, mat oppervlak en strakke afdekramen van 82,5 mm. Veerklemaansluiting voor snelle montage, 10 jaar mechanische levensduurtest. Voor woningen, hotels en kantoren met een hoogwaardige afwerking.</p><ul><li>CE-gecertificeerd</li><li>Veerklem, snelle montage</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Inbouw</td></tr><tr><td>IP-klasse</td><td>IP20</td></tr><tr><td>Afdekraam</td><td>Zonder afdekraam (apart bestellen)</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Veerklem (snelaansluiting)</td></tr><tr><td>Kleur</td><td>wit mat</td></tr><tr><td>Spanning</td><td>230 V</td></tr></table><p>Minimale afname 10 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,LUXA,"LUXA,B2B,Schakelaars",TRUE,Title,Default Title,LP-LU101,11.85,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-lu101-1-l.webp,1,active
lp-lu102,"Enkelpolige schakelaar, wit mat, set van 10","<p>Premium schakelmateriaal met een vlak, mat oppervlak en strakke afdekramen van 82,5 mm. Veerklemaansluiting voor snelle montage, 10 jaar mechanische levensduurtest. Voor woningen, hotels en kantoren met een hoogwaardige afwerking.</p><ul><li>CE-gecertificeerd</li><li>Veerklem, snelle montage</li><li>Past in standaard inbouwdoos</li></ul><h3>Specificaties</h3><table><tr><td>Montage</td><td>Inbouw</td></tr><tr><td>IP-klasse</td><td>IP20</td></tr><tr><td>Afdekraam</td><td>Zonder afdekraam (apart bestellen)</td></tr><tr><td>Nominale stroom</td><td>10 A</td></tr><tr><td>Aansluitklem</td><td>Veerklem (snelaansluiting)</td></tr><tr><td>Kleur</td><td>wit mat</td></tr><tr><td>Spanning</td><td>230 V</td></tr><tr><td>Verpakking</td><td>10 stuks</td></tr></table><p>Minimale afname 1 set. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,LUXA,"LUXA,B2B,Schakelaars",TRUE,Title,Default Title,LP-LU102,115.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-lu102-1-l.webp,1,active
